start	end	length	IDY	missing1	missing2	
59249730	59250194	464	0.8707	0.0194	0.0194	
59377283	59377570	287	0.8571	0.0279	0.0453	
401586485	401587596	1111	0.3204	0.5518	0.09	
8405268	8405571	303	0.8317	0.0033	0.0726	
16059755	16060540	785	0.7885	0.0675	0.065	
59234796	59235097	301	0.8738	0.0	0.0498	
59248391	59248918	527	0.7571	0.0455	0.093	
59271166	59271511	345	0.9391	0.0	0.0	
59271789	59272314	525	0.861	0.0362	0.0476	
59273338	59273618	280	0.9571	0.0	0.0	
59281076	59281457	381	0.8189	0.0289	0.0551	
59297502	59299121	1619	0.9024	0.0204	0.0154	
59313188	59313450	262	0.9466	0.0	0.0153	
59317453	59318173	720	0.8778	0.0042	0.0333	
59339234	59339466	232	0.9483	0.0431	0.0043	
59348113	59348779	666	0.8859	0.0	0.042	
59350849	59351141	292	0.9418	0.0	0.0103	
59352440	59352903	463	0.797	0.0454	0.0583	
59355865	59356166	301	0.9502	0.0	0.0133	
59360546	59360823	277	0.9567	0.0	0.0	
59361219	59362417	1198	0.7387	0.0735	0.121	
59367338	59368121	783	0.6462	0.1111	0.1226	
59371988	59372358	370	0.9189	0.0216	0.0	
59375186	59375754	568	0.8239	0.0246	0.0599	
59378370	59378710	340	0.7559	0.1441	0.0235	
59382373	59383613	1240	0.8702	0.0226	0.0452	
59384098	59384355	257	0.9105	0.0	0.0272	
59389520	59390013	493	0.8073	0.0913	0.0345	
59390425	59391745	1320	0.6545	0.0841	0.1432	
59392604	59392973	369	0.8835	0.0217	0.0298	
59393833	59394175	342	0.9211	0.0029	0.0146	
59399216	59399702	486	0.8333	0.07	0.0144	
59400155	59400322	167	0.8743	0.006	0.018	
59401440	59402343	903	0.845	0.0266	0.0532	
59403953	59404582	629	0.9173	0.0079	0.0127	
59405119	59405316	197	0.9492	0.0	0.0	
59405723	59406523	800	0.92	0.005	0.025	
59407540	59409056	1516	0.8674	0.0224	0.0356	
59415557	59416009	452	0.8518	0.0155	0.0155	
65213153	65214226	1073	0.6076	0.1454	0.1482	
97839768	97839943	175	0.9314	0.0057	0.0	
112956640	112957700	1060	0.6538	0.1981	0.0594	
115347283	115347690	407	0.688	0.1057	0.1425	
137796397	137796662	265	0.766	0.0113	0.1509	
150980266	150980534	268	0.9403	0.0	0.0149	
151056991	151057437	446	0.8587	0.0	0.0919	
168614227	168614487	260	0.85	0.0	0.0808	
192596972	192597822	850	0.5141	0.1529	0.2082	
210020642	210021333	691	0.7033	0.013	0.2229	
270809511	270810065	554	0.9043	0.0181	0.0415	
316315152	316316229	1077	0.6955	0.1606	0.065	
345537460	345538203	743	0.6339	0.2813	0.0202	
348750182	348750720	538	0.539	0.1822	0.2156	
355148611	355148898	287	0.9791	0.0035	0.0	
357775253	357775670	417	0.8609	0.0216	0.0264	
377932731	377933558	827	0.9661	0.0	0.0	
403249181	403249702	521	0.8157	0.025	0.0633	
425345507	425345951	444	0.8041	0.0946	0.027	
438419145	438419763	618	0.7524	0.0129	0.0971	
447596193	447596765	572	0.9476	0.0	0.0245	
453601004	453601255	251	0.8845	0.008	0.0159	
474846722	474847142	420	0.781	0.019	0.0714	
