start	end	length	IDY	missing1	missing2	
227471309	227471815	506	0.7609	0.0395	0.1206	
86312690	86313216	526	0.4867	0.1084	0.3213	
359578059	359578729	670	0.594	0.1254	0.1866	
230305616	230305971	355	0.8394	0.0028	0.062	
231373276	231374641	1365	0.5319	0.2022	0.1553	
232672847	232673455	608	0.2829	0.6628	0.0296	
91477635	91480757	3122	0.0727	0.5503	0.3523	
234401770	234402058	288	0.7882	0.0174	0.0903	
330847363	330847933	570	0.4158	0.3193	0.1842	
23557954	23558312	358	0.7961	0.0475	0.0698	
331543570	331544106	536	0.6623	0.1101	0.1679	
425220272	425220450	178	0.0	0.0	1.0	
337978542	337979174	632	0.5791	0.1693	0.1835	
241451929	241452157	228	0.7456	0.0614	0.0921	
241711115	241711851	736	0.7772	0.0774	0.1046	
244351252	244352886	1634	0.317	0.1248	0.4957	
34556502	34556817	315	0.5333	0.0317	0.3016	
438051356	438051855	499	0.5972	0.2826	0.0641	
438472049	438472316	267	0.5019	0.015	0.4345	
384029241	384029603	362	0.5691	0.0166	0.3591	
35307169	35307339	170	0.8529	0.0412	0.0353	
291926351	291926853	502	0.5279	0.1454	0.2669	
361555311	361555728	417	0.7314	0.0216	0.1727	
263336373	263336660	287	0.8467	0.0523	0.0244	
263528747	263529302	555	0.418	0.0054	0.4865	
266759159	266759457	298	0.6309	0.0101	0.302	
266777471	266777758	287	0.8467	0.0	0.0662	
368279461	368279672	211	0.7109	0.0047	0.2559	
370468615	370470003	1388	0.2111	0.3689	0.3739	
269480186	269480408	222	0.9279	0.0	0.0045	
270196383	270196710	327	0.0	0.0	1.0	
270770122	270770623	501	0.7884	0.014	0.1138	
272253793	272254781	988	0.0982	0.3826	0.5142	
273629014	273629369	355	0.8366	0.0	0.1239	
469855213	469855547	334	0.8443	0.0838	0.006	
382383946	382384764	818	0.5844	0.1553	0.1846	
385686645	385688703	2058	0.6293	0.2182	0.0758	
315145958	315146460	502	0.7849	0.0339	0.0637	
392720073	392720450	377	0.3634	0.4271	0.1698	
54743895	54744333	438	0.9201	0.0068	0.0137	
399142642	399143356	714	0.6345	0.3039	0.0252	
429573143	429573614	471	0.0	0.0	1.0	
402443907	402444663	756	0.5966	0.1349	0.1336	
402693153	402693617	464	0.9224	0.0022	0.0086	
3781140	3781606	466	0.7425	0.0515	0.1202	
71082584	71082901	317	0.7287	0.0221	0.1735	
436615972	436616316	344	0.6628	0.0465	0.2384	
437139353	437139552	199	0.9598	0.0151	0.0	
312886222	312888591	2369	0.2241	0.74	0.0055	
351235692	351236150	458	0.5328	0.0568	0.3166	
315141286	315142109	823	0.3913	0.0535	0.4824	
315146816	315147196	380	0.6316	0.0184	0.3053	
331547692	331548305	613	0.7798	0.0131	0.0506	
86717286	86718412	1126	0.2478	0.0533	0.6421	
418651682	418652294	612	0.616	0.0735	0.2386	
359005529	359006432	903	0.6567	0.1761	0.0997	
97626747	97627025	278	0.5863	0.0252	0.3273	
370975420	370975717	297	0.862	0.0	0.0202	
34177378	34177862	484	0.3864	0.2789	0.2624	
346560998	346561395	397	0.5768	0.1083	0.204	
436543229	436544280	1051	0.5205	0.1142	0.2892	
347223589	347223931	342	0.7222	0.0877	0.1579	
408061277	408062102	825	0.4885	0.4315	0.0291	
438469517	438470793	1276	0.6771	0.1199	0.1152	
438471139	438471919	780	0.3641	0.0218	0.5667	
438800311	438800988	677	0.7518	0.0133	0.1773	
440271079	440271690	611	0.3453	0.2946	0.2946	
360959575	360960003	428	0.9136	0.0164	0.0023	
479119512	479119986	474	0.5063	0.0021	0.3819	
59527255	59528018	763	0.7051	0.0183	0.2241	
88446956	88447622	666	0.2748	0.0195	0.6772	
401163006	401163521	515	0.8233	0.0272	0.033	
449015004	449015443	439	0.6036	0.18	0.1686	
450623275	450623612	337	0.6736	0.0772	0.1721	
451234827	451235130	303	0.8251	0.0066	0.0924	
378382844	378384039	1195	0.5782	0.2134	0.1297	
381287151	381288595	1444	0.4688	0.2943	0.1551	
61548037	61548272	235	0.0	0.0	1.0	
419693813	419694865	1052	0.3498	0.5551	0.0323	
383343453	383344244	791	0.4829	0.2465	0.1694	
397322751	397323033	282	0.6418	0.0248	0.2801	
413119885	413120446	561	0.4848	0.1604	0.3155	
478306075	478306491	416	0.5096	0.1298	0.3197	
80341147	80341959	812	0.1983	0.0985	0.6749	
93571792	93572078	286	0.6224	0.035	0.2762	
67819954	67820296	342	0.693	0.0994	0.1228	
479099538	479100428	890	0.227	0.1315	0.6022	
2579265	2580005	740	0.6568	0.0432	0.2095	
12151887	12152632	745	0.8161	0.0201	0.0456	
12287196	12287757	561	0.754	0.107	0.0588	
12387731	12388849	1118	0.7245	0.0912	0.0957	
16604805	16605542	737	0.73	0.0963	0.1085	
18128782	18129186	404	0.6609	0.0421	0.2302	
24110645	24111785	1140	0.4746	0.1895	0.193	
27815807	27816771	964	0.3019	0.4056	0.1981	
40270285	40274296	4011	0.2528	0.3321	0.3615	
79794888	79795156	268	0.8507	0.0075	0.0224	
80698683	80699043	360	0.8528	0.0083	0.0472	
92828044	92828575	531	0.5047	0.0753	0.2994	
93244878	93245478	600	0.7283	0.08	0.0917	
94461188	94461589	401	0.7257	0.1322	0.0673	
104996266	104996563	297	0.8586	0.0135	0.0236	
105030721	105031628	907	0.355	0.0375	0.5469	
107870077	107870778	701	0.4608	0.1227	0.3381	
112333184	112333693	509	0.6228	0.0314	0.275	
113648034	113648942	908	0.8282	0.0341	0.033	
121064932	121066848	1916	0.3669	0.2672	0.297	
129407164	129407800	636	0.9072	0.0016	0.0126	
131586928	131587813	885	0.5593	0.1017	0.2237	
132432258	132432785	527	0.8482	0.0076	0.0304	
149332284	149333206	922	0.6345	0.077	0.2299	
150698967	150699541	574	0.8815	0.0122	0.0244	
166917408	166919088	1680	0.475	0.3131	0.1321	
168345987	168347018	1031	0.9156	0.0097	0.0078	
180238155	180238698	543	0.8416	0.0166	0.0295	
180910882	180911315	433	0.7321	0.0323	0.1016	
190023123	190023376	253	0.9091	0.0	0.0277	
192060135	192061227	1092	0.7958	0.0476	0.0321	
192507252	192507935	683	0.8009	0.0307	0.022	
194306886	194308039	1153	0.4727	0.1015	0.3374	
201445472	201445772	300	0.8833	0.0433	0.0	
205318474	205318960	486	0.893	0.0226	0.037	
205418454	205418995	541	0.4658	0.2773	0.1941	
212054434	212054876	442	0.8416	0.0226	0.0271	
213182353	213184051	1698	0.4511	0.0707	0.3905	
232671943	232672476	533	0.8293	0.045	0.03	
234637262	234639303	2041	0.6595	0.146	0.1244	
241712431	241713146	715	0.449	0.1343	0.3608	
248937546	248938494	948	0.6108	0.2373	0.0992	
252599730	252600095	365	0.589	0.0329	0.337	
259969700	259970181	481	0.8129	0.0541	0.0291	
261200568	261201254	686	0.7449	0.1152	0.0583	
261209839	261210670	831	0.4862	0.4356	0.0301	
261510004	261510268	264	0.8485	0.0152	0.0417	
267256090	267256599	509	0.6012	0.2456	0.0747	
267541114	267541682	568	0.5687	0.1954	0.1796	
268216417	268216622	205	0.9415	0.0098	0.0293	
269481477	269482254	777	0.7761	0.0245	0.1133	
272576655	272577504	849	0.5277	0.0118	0.3852	
278597435	278598972	1537	0.5036	0.1165	0.2804	
278667676	278669097	1421	0.2062	0.3941	0.3681	
292464929	292465880	951	0.6803	0.062	0.0789	
298361918	298362591	673	0.63	0.1768	0.1114	
307870587	307871184	597	0.5863	0.0771	0.2127	
307871782	307872577	795	0.4151	0.244	0.2717	
309724647	309724957	310	0.971	0.0	0.0065	
309772017	309772553	536	0.7407	0.056	0.0672	
312785867	312786794	927	0.7152	0.1208	0.0615	
321444658	321445576	918	0.8322	0.0283	0.024	
330951447	330953087	1640	0.1713	0.3805	0.4043	
345257507	345257706	199	0.8492	0.0905	0.0	
347283591	347283967	376	0.8404	0.0452	0.0319	
349669245	349670123	878	0.5137	0.049	0.3178	
354309474	354310155	681	0.8003	0.0264	0.0881	
359012617	359013001	384	0.7552	0.0964	0.0547	
360503016	360503719	703	0.6586	0.0512	0.1863	
360956246	360958211	1965	0.3511	0.2463	0.3104	
361407601	361408426	825	0.6812	0.0764	0.0982	
