start	end	length	IDY	missing1	missing2	
321444661	321445605	944	0.8305	0.0275	0.0297	
335604740	335606251	1511	0.321	0.0615	0.5606	
346543309	346544252	943	0.2227	0.0308	0.72	
351418409	351418655	246	0.7276	0.187	0.0041	
359005888	359007112	1224	0.4608	0.0989	0.384	
359012649	359013092	443	0.7652	0.0971	0.0429	
362118629	362120585	1956	0.3901	0.1702	0.386	
362427007	362427288	281	0.8612	0.0249	0.0142	
363929975	363930331	356	0.8034	0.0393	0.0112	
363958028	363959383	1355	0.7993	0.0236	0.0937	
383224311	383225733	1422	0.4543	0.0499	0.4353	
384731912	384732615	703	0.3926	0.0413	0.5306	
391545247	391545655	408	0.6373	0.1446	0.0319	
391819945	391820921	976	0.4754	0.0441	0.3893	
394461617	394462666	1049	0.7807	0.0515	0.0801	
394602231	394603938	1707	0.3603	0.1236	0.461	
395030821	395031160	339	0.8378	0.0678	0.0088	
399145737	399146859	1122	0.2718	0.1248	0.5829	
399799576	399799890	314	0.8439	0.0032	0.0541	
403295924	403296288	364	0.8654	0.022	0.0192	
415975033	415975588	555	0.9009	0.0252	0.0054	
421105815	421106521	706	0.432	0.1388	0.3725	
421109288	421109636	348	0.8362	0.0201	0.0374	
421511966	421512761	795	0.3497	0.117	0.4918	
428495427	428496021	594	0.6094	0.1347	0.1852	
428652812	428653402	590	0.3797	0.261	0.3424	
429597285	429597657	372	0.2876	0.6667	0.0027	
429603659	429604709	1050	0.3019	0.36	0.2933	
438030792	438031732	940	0.3702	0.1734	0.4426	
438081243	438081823	580	0.5172	0.2207	0.1966	
438161404	438162424	1020	0.7598	0.0686	0.0343	
439205140	439205773	633	0.6746	0.09	0.128	
439938845	439940170	1325	0.4891	0.2445	0.1472	
439946973	439947286	313	0.8498	0.0032	0.0415	
440937433	440938261	828	0.7198	0.0773	0.0531	
440966515	440966813	298	0.8456	0.0101	0.0168	
441070333	441070642	309	0.7929	0.0291	0.0518	
441096805	441097100	295	0.7932	0.1322	0.0068	
441107216	441108458	1242	0.3349	0.3776	0.2536	
441428008	441428633	625	0.816	0.0288	0.056	
442051468	442051651	183	0.9235	0.0	0.0164	
444276026	444276358	332	0.7771	0.0602	0.0361	
449093514	449094442	928	0.2478	0.1153	0.6272	
449170406	449171169	763	0.5557	0.0917	0.3028	
458240403	458240877	474	0.6519	0.0781	0.1793	
461117266	461117560	294	0.4966	0.2449	0.1939	
463399797	463400152	355	0.7634	0.0338	0.1268	
469012727	469013046	319	0.7994	0.1505	0.0	
469828488	469829651	1163	0.6879	0.0731	0.172	
469855191	469856933	1742	0.3163	0.1073	0.531	
470697107	470698114	1007	0.5631	0.1301	0.2145	
470750970	470751398	428	0.8715	0.0397	0.0257	
476028704	476029697	993	0.3303	0.1239	0.4935	
478316242	478317104	862	0.8329	0.0313	0.0348	
