melpID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	day	TF	eratoID
1	HMEL002041g1.t1	0	0	0	0	0	0	0	CG7368	evm.model.Herato1505.119
2	HMEL002041g1.t1	0	0	0	0	0	0	0	neo38	evm.model.Herato1505.119
3	HMEL002041g1.t1	0	0	0	0	0	0	1	CG7368	evm.model.Herato1505.119
4	HMEL002041g1.t1	0	0	0	0	0	0	1	neo38	evm.model.Herato1505.119
5	HMEL002041g1.t1	0	0	0	0	0	0	2	CG7368	evm.model.Herato1505.119
6	HMEL002041g1.t1	0	0	0	0	0	0	2	neo38	evm.model.Herato1505.119
7	HMEL002203g1.t1	12.0163901770195	-0.0659586399759667	0.940821079362834	-0.0701075277996926	0.944108075129894	0.990215656457783	0	Med	evm.model.Herato0901.271
8	HMEL002203g1.t1	12.0522580536868	-0.0502801355905956	0.573438471431125	-0.0876818317841702	0.930129560135479	0.967695238286382	1	Med	evm.model.Herato0901.271
9	HMEL002203g1.t1	11.8500188115996	-1.94649376896777	0.796461877973582	-2.44392584604323	0.0145284123595141	0.373882839394132	2	Med	evm.model.Herato0901.271
10	HMEL002691g1.t1	3.10386608482783	-0.998879801794573	1.00879021725049	-0.990175940164322	0.322088130354114	0.898426459625633	2	slp2	evm.model.Herato1904.174
11	HMEL002691g1.t1	1.53309688902578	-4.09507856587282	3.36778430665288	-1.21595630628221	0.224001567038165	0.935463109133294	0	slp2	evm.model.Herato1904.174
12	HMEL002691g1.t1	12.5207007662815	-4.2854655011139	0.982666817538455	-4.36105648896219	1.29435941396823e-05	0.000599632875285524	1	slp2	evm.model.Herato1904.174
13	HMEL004546g1.t1	37.6511740029391	0.164227079722784	0.55818218295626	0.29421770299618	0.768591553976201	0.952690990275963	0	D19B-F10-12	evm.model.Herato2001.579
14	HMEL004546g1.t1	110.243971878043	0.163050949647453	0.216692218490234	0.75245410649022	0.451778018979216	0.678316474131235	1	D19B-F10-12	evm.model.Herato2001.579
15	HMEL004546g1.t1	117.924582540775	0.268096461115297	0.260045673714021	1.03095912839577	0.30255998669797	0.894772363468541	2	D19B-F10-12	evm.model.Herato2001.579
16	HMEL005340g3.t1	4.75498562912818	-2.77046917409383	1.2434139146278	-2.22811498367632	0.0258728483592348	0.462136732206069	2	Sp1	evm.model.Herato2001.371
17	HMEL005340g3.t1	1.12392676923048	-2.94461087006186	2.21248138373082	-1.33090876683286	0.183219032238544	0	0	Sp1	evm.model.Herato2001.371
18	HMEL005340g3.t1	64.3516590520845	-8.2303352598392	0.962888313651296	-8.54754922575554	1.25729672508403e-17	2.88901641489809e-14	1	Sp1	evm.model.Herato2001.371
19	HMEL005659g1.t1	32.8982396914303	-0.357758183274965	0.433885737572106	-0.82454469528515	0.409630130800193	0.92525096006091	2	lola	evm.model.Herato0701.756
20	HMEL005659g1.t1	73.8974722189724	0.488105535855709	0.358107621923601	1.36301353552269	0.172878244800235	0.399557061860773	1	lola	evm.model.Herato0701.756
21	HMEL005659g1.t1	90.3754362727214	0.436585064578011	0.751600249070473	0.5808740286049	0.56132535741181	0.939293429301158	0	lola	evm.model.Herato0701.756
22	HMEL006591g1.t1	416.272920506186	0.0468107140761454	0.294670900863942	0.158857606702601	0.873781061422656	0.93925809174751	1	ac_da	evm.model.Herato1701.148
23	HMEL006591g1.t1	72.3595945421776	-0.689061711524896	0.733313097570856	-0.939655535687901	0.347394279698722	0.906245947040143	2	ac_da	evm.model.Herato1701.148
24	HMEL006591g1.t1	63.3177738566579	-1.93821444432466	0.817455303844545	-2.37103415343825	0.017738391882681	0.521384585315263	0	ac_da	evm.model.Herato1701.148
25	HMEL007609g1.t1	40.4084989909452	-5.52331797285809	1.77978412569413	-3.10336399404841	0.00191334155382747	0.203333552454529	0	tgo_ss	evm.model.Herato0901.62
26	HMEL007609g1.t1	3.04920197281909	-0.866652728276875	0.913884722616001	-0.948317338970364	0.342967926487537	0.586394700801143	1	tgo_ss	evm.model.Herato0901.62
27	HMEL007609g1.t1	113.142181977034	-0.535938334053538	0.745695146329005	-0.718709698852028	0.472319806146628	0.942970613608151	2	tgo_ss	evm.model.Herato0901.62
28	HMEL007885g1.t1	117.529576806623	-0.0350674877912278	0.252056921599556	-0.139125272056364	0.889351158213832	0.987226276482247	2	D19A-F10-12	evm.model.Herato1605.163
29	HMEL007885g1.t1	68.9500488648405	0.423191425962833	0.880395344750051	0.480683398073827	0.63074153227301	0.939293429301158	0	D19A-F10-12	evm.model.Herato1605.163
30	HMEL007885g1.t1	142.330046128104	-0.583820340326633	0.352826027788048	-1.65469748359197	0.0979858777814966	0.284714150185031	1	D19A-F10-12	evm.model.Herato1605.163
31	HMEL008091g2.t1	28.8510238605995	0.100852743290479	0.704806703037068	0.143092769770629	0.886216915068628	0.987226276482247	2	fru	evm.model.Herato0310.115
32	HMEL008091g2.t1	5.13493241965889	-0.160008834322246	0.819310126514308	-0.195297029957376	0.845160422057077	0.924238348468852	1	fru	evm.model.Herato0310.115
33	HMEL008091g2.t1	62.9906486339719	-3.08975429330162	1.17739576339796	-2.62422745974947	0.00868457655674444	0.404846648121012	0	fru	evm.model.Herato0310.115
34	HMEL008789g3.t1	17.0754517629228	-0.21170557136346	0.757075601411095	-0.279635971584432	0.779756806297775	0.891356067540233	1	bab1	evm.model.Herato2101.308
35	HMEL008789g3.t1	44.2536033584339	-1.39954860739731	0.774551216994065	-1.80691551015668	0.0707754538151235	0.678394905941961	2	bab1	evm.model.Herato2101.308
