eratoID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	day	TF	melpID
51	evm.model.Herato1202.800	0.645339230275558	-0.390033112136155	1.3954329859285	-0.279506874259987	0.77985586326681	0	1	br	HMEL012334g1.t1
52	evm.model.Herato1301.690	0	0	0	0	0	0	0	ey	HMEL021801g1.t1
53	evm.model.Herato1301.690	0	0	0	0	0	0	1	ey	HMEL021801g1.t1
54	evm.model.Herato1301.690	0	0	0	0	0	0	2	ey	HMEL021801g1.t1
55	evm.model.Herato1408.153	0	0	0	0	0	0	2	retn	HMEL032400g1.t1
56	evm.model.Herato1408.153	0	0	0	0	0	0	0	retn	HMEL032400g1.t1
57	evm.model.Herato1408.153	0	0	0	0	0	0	1	retn	HMEL032400g1.t1
58	evm.model.Herato1505.119	0.290845859670333	-0.828999329938835	2.24005002403761	-0.370080721878073	0.711322345697128	0	2	CG7368	HMEL002041g1.t1
59	evm.model.Herato1505.119	0.290845859670333	-0.828999329938835	2.24005002403761	-0.370080721878073	0.711322345697128	0	2	neo38	HMEL002041g1.t1
60	evm.model.Herato1505.119	3.31355930001979	-3.33636087765695	1.13440737418908	-2.9410606397388	0.00327090494365675	0.0529935420349165	1	CG7368	HMEL002041g1.t1
61	evm.model.Herato1505.119	3.31355930001979	-3.33636087765695	1.13440737418908	-2.9410606397388	0.00327090494365675	0.0529935420349165	1	neo38	HMEL002041g1.t1
62	evm.model.Herato1505.119	1.36079222696932	-2.88359716087692	4.04993401729973	-0.712010899081152	0.476458026907018	0	0	CG7368	HMEL002041g1.t1
63	evm.model.Herato1505.119	1.36079222696932	-2.88359716087692	4.04993401729973	-0.712010899081152	0.476458026907018	0	0	neo38	HMEL002041g1.t1
64	evm.model.Herato1603.1	0.299820961401596	0.216899769240072	2.20240815343032	0.0984830032082125	0.92154876782048	0	1	Atf6	HMEL030930g1.t1
65	evm.model.Herato1603.1	0.592533242143432	2.26969933752032	2.37081354368371	0.957350418200211	0.338390415291758	0	2	Atf6	HMEL030930g1.t1
66	evm.model.Herato1603.1	0.279543625552493	1.3970905345974	4.28676172476249	0.325908138660263	0.744493857848396	0	0	Atf6	HMEL030930g1.t1
67	evm.model.Herato1605.163	54.2773487775485	-0.208304327017098	0.90925293487606	-0.229093928682773	0.818795912201634	0.99900830116311	0	D19A-F10-12	HMEL007885g1.t1
68	evm.model.Herato1605.163	44.5483543650733	-0.251022623100579	0.417418614309155	-0.601369020200575	0.547594227978009	0.821722529075692	1	D19A-F10-12	HMEL007885g1.t1
69	evm.model.Herato1605.163	31.3473881386571	-0.317729675843791	0.505658694211561	-0.62834809226252	0.529775933314935	0.857591784096088	2	D19A-F10-12	HMEL007885g1.t1
70	evm.model.Herato1701.148	185.842243603258	0.563230137637673	0.569513282052228	0.988967519085923	0.32267903368461	0.756188417521683	2	ac_da	HMEL006591g1.t1
71	evm.model.Herato1701.148	157.398898626677	0.491641687579281	0.645597322880484	0.761529935387132	0.446340605760184	0.99900830116311	0	ac_da	HMEL006591g1.t1
72	evm.model.Herato1701.148	1201.00278747722	0.804518740896222	0.298540733699759	2.6948374210982	0.00704229831683458	0.087332812463655	1	ac_da	HMEL006591g1.t1
73	evm.model.Herato1807.12	116.943884103929	0.404436940155488	0.812504205464664	0.497765965314843	0.618649007335815	0.888770285587039	2	ci	HMEL016327g1.t1
74	evm.model.Herato1807.12	351.511546613491	-0.623258993028101	0.457960929860102	-1.36094359232455	0.173531516055159	0.520824287248187	1	ci	HMEL016327g1.t1
75	evm.model.Herato1807.12	976.802957466477	-1.21205769468553	0.773133442196857	-1.56772120895646	0.116946209776872	0.99900830116311	0	ci	HMEL016327g1.t1
76	evm.model.Herato1904.174	6.91985130246438	-2.67868827899591	0.865069884961699	-3.09649928353998	0.00195820335224125	0.0372101486014507	1	slp2	HMEL002691g1.t1
77	evm.model.Herato1904.174	4.36182532482599	-3.60311536600195	1.23810628862625	-2.91018259021996	0.00361217661307268	0.189799305327401	2	slp2	HMEL002691g1.t1
78	evm.model.Herato1904.174	0.764486409837475	1.33964113900888	3.66666412199319	0.365356927833537	0.714844988752802	0	0	slp2	HMEL002691g1.t1
79	evm.model.Herato2001.371	0.544389865117115	-1.580439305677	3.90638584370348	-0.404578392639949	0.685787443884554	0	0	Sp1	HMEL005340g3.t1
80	evm.model.Herato2001.371	227.355125648473	-10.2670260278606	1.59827525960265	-6.42381590165706	1.32899919905711e-10	1.28233656051244e-07	1	Sp1	HMEL005340g3.t1
81	evm.model.Herato2001.371	63.7834066701311	-1.60166384594539	2.06468195233572	-0.775743617138453	0.437900380817632	0.812537485836882	2	Sp1	HMEL005340g3.t1
82	evm.model.Herato2001.579	27.477698663969	-0.294604615436343	0.264526967855084	-1.11370352076064	0.265406398396376	0.619234057945762	1	D19B-F10-12	HMEL004546g1.t1
83	evm.model.Herato2001.579	17.0672479792893	-0.138188368117857	0.581790162272206	-0.237522696461825	0.81225131369237	0.956762005517294	2	D19B-F10-12	HMEL004546g1.t1
84	evm.model.Herato2001.579	10.4314033295067	-1.73667952882455	1.10095322931233	-1.57743261256366	0.114696016327223	0	0	D19B-F10-12	HMEL004546g1.t1
85	evm.model.Herato2101.308	5.01387899655321	-1.32043590545113	1.45183105759699	-0.909496940805673	0.363087871895054	0	0	bab1	HMEL008789g3.t1
86	evm.model.Herato2101.308	25.9073327231654	-0.0290734385033122	0.663226878999299	-0.0438363393039487	0.965034860338072	0.989014789431697	1	bab1	HMEL008789g3.t1
87	evm.model.Herato2101.308	31.9404424575873	-0.559690814007953	0.875975010673799	-0.638934680998993	0.522865425426575	0.854092618186665	2	bab1	HMEL008789g3.t1
88	evm.model.Herato2101.53	0.144102732952705	2.11842625640058	4.28676215851427	0.49417863134604	0.621180029610415	0	0	Awh	HMEL011021g1.t1
89	evm.model.Herato2101.53	10.8003435399269	-4.30981668921261	1.28570002190011	-3.35211683580998	0.000801961666925935	0.0196855908967867	1	Awh	HMEL011021g1.t1
90	evm.model.Herato2101.53	1.02697499231288	-0.687941048089583	1.80517100874773	-0.381094669012448	0.703133002995748	0	2	Awh	HMEL011021g1.t1
