baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
evm.model.Herato0101.246	2.45323135858716	-2.42616630116971	2.37843510856431	-1.02006831821206	0.30769606101242	NA
evm.model.Herato0101.247	0	NA	NA	NA	NA	NA
evm.model.Herato0101.248	0	NA	NA	NA	NA	NA
evm.model.Herato0101.249	0.103146138720263	-0.146612517101016	4.32796801761291	-0.0338756008603501	0.972976349711271	NA
evm.model.Herato0101.25	0.190366107900884	0.428568023166772	4.31668366965962	0.0992817764662763	0.920914547196747	NA
evm.model.Herato0101.250	0	NA	NA	NA	NA	NA
evm.model.Herato0101.251	0	NA	NA	NA	NA	NA
evm.model.Herato0101.252	0	NA	NA	NA	NA	NA
evm.model.Herato0101.252.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.252.2	0	NA	NA	NA	NA	NA
evm.model.Herato0101.253	11789.1983012174	-0.274698312111246	0.38330106282823	-0.716664624106056	0.473581058894533	0.96821955506046
evm.model.Herato0101.254	0.422945104425271	-2.92818544739526	4.24843288827645	-0.689238955727791	0.490672905807027	NA
evm.model.Herato0101.255	512.143295109776	0.251479939117837	0.799219691485568	0.31465683565728	0.753022220765167	0.994563202764539
evm.model.Herato0101.256	0	NA	NA	NA	NA	NA
evm.model.Herato0101.256.1	12.5931718434061	-0.282986152943054	0.886388044111548	-0.319257637580952	0.749531153386559	0.994563202764539
evm.model.Herato0101.257	290.785594020479	0.589017119932598	0.645347311973742	0.912713370000933	0.361393310284275	0.945570051899862
evm.model.Herato0101.258	265.202525186517	0.0570972536960397	0.729880103890077	0.0782282643296148	0.937646479220897	0.997124054395356
evm.model.Herato0101.259	0	NA	NA	NA	NA	NA
evm.model.Herato0101.259.1	0.50118407031682	1.12808760401803	4.28722050952131	0.263127964030008	0.792451950983816	NA
evm.model.Herato0101.26	892.891761520702	0.795885856078889	0.703149841150949	1.13188656172651	0.25768212908774	0.883053081464555
evm.model.Herato0101.260	0	NA	NA	NA	NA	NA
evm.model.Herato0101.261	0	NA	NA	NA	NA	NA
